Style_idx,RSI_mean_raw,RSI_median_raw,RSI_p90_raw,SCAR_mean_raw,SCAR_median_raw,SCAR_p90_raw
1,0.060739,0.060716,0.061834,0.502866,0.510798,0.833388
2,0.060229,0.060219,0.060920,0.521974,0.538103,0.843831
3,0.042633,0.042447,0.044012,0.518813,0.527958,0.820026
4,0.060439,0.060247,0.061950,0.465444,0.451149,0.800041
5,0.059732,0.059744,0.060815,0.512971,0.524102,0.838410
6,0.053252,0.053225,0.054201,0.537968,0.552019,0.857075
7,0.093027,0.092894,0.094647,0.494595,0.492732,0.803548
8,0.055467,0.055508,0.056675,0.541763,0.553329,0.874473
9,0.048688,0.048756,0.050290,0.515493,0.526698,0.842118
10,0.053705,0.053596,0.054680,0.486934,0.476630,0.814708
11,0.055963,0.055923,0.056675,0.515298,0.523028,0.850828
12,0.055840,0.055839,0.056608,0.550199,0.570307,0.864970
13,0.067886,0.067801,0.068795,0.501548,0.495333,0.831590
14,0.049595,0.049565,0.050470,0.517693,0.527648,0.836694
15,0.073442,0.073313,0.075079,0.518295,0.525074,0.836375
16,0.115309,0.115280,0.116717,0.500808,0.502980,0.826795
17,0.053060,0.053150,0.054239,0.548223,0.567152,0.863611
18,0.045727,0.045754,0.046792,0.514197,0.520823,0.821170
19,0.071964,0.072148,0.073066,0.544899,0.562587,0.870342
20,0.055610,0.055396,0.057340,0.459595,0.440091,0.746409
21,0.085576,0.086130,0.087459,0.593282,0.615319,0.891359
22,0.047189,0.047092,0.048468,0.503517,0.510314,0.825943
23,0.066450,0.066511,0.067676,0.547348,0.560928,0.864138
24,0.044099,0.044056,0.044954,0.516661,0.511526,0.841659
25,0.070605,0.070657,0.071410,0.522532,0.523505,0.847548
26,0.051343,0.051319,0.052321,0.538637,0.549368,0.858730
27,0.055467,0.055539,0.056432,0.504228,0.507644,0.839826
28,0.057373,0.057353,0.058616,0.511615,0.504901,0.851790
29,0.051609,0.051432,0.052849,0.530475,0.532698,0.844757
30,0.070935,0.070502,0.073204,0.478198,0.461844,0.832708
31,0.066547,0.066233,0.068377,0.466108,0.446417,0.810815
32,0.041596,0.041682,0.042647,0.545725,0.567739,0.863786
33,0.053867,0.053713,0.055498,0.478631,0.469064,0.814614
34,0.057649,0.057627,0.059019,0.499084,0.497727,0.830414
35,0.046581,0.046476,0.047600,0.549287,0.563791,0.876059
36,0.053331,0.053336,0.054180,0.498819,0.505527,0.815711
37,0.052214,0.052207,0.053422,0.513763,0.519235,0.825221
38,0.090440,0.089358,0.093170,0.290693,0.237732,0.519244
39,0.048429,0.048456,0.049403,0.541299,0.556078,0.844375
40,0.070087,0.070206,0.071735,0.519923,0.526524,0.857240
41,0.059283,0.059254,0.060333,0.518051,0.522109,0.835261
42,0.068544,0.068611,0.069578,0.521537,0.524590,0.843095
43,0.058550,0.058580,0.059383,0.534283,0.548168,0.849423
44,0.089359,0.089305,0.091063,0.500919,0.499267,0.842963
45,0.047268,0.047328,0.048415,0.538459,0.546479,0.865555
46,0.074059,0.074072,0.075228,0.476417,0.470739,0.789568
47,0.064367,0.064215,0.065209,0.482669,0.481160,0.787211
48,0.054828,0.054882,0.055846,0.535486,0.546099,0.854968
49,0.078850,0.078832,0.080018,0.501030,0.492981,0.835104
50,0.058593,0.058597,0.059750,0.538605,0.554455,0.847777
